Para. #, Sent. #, Subject, Verbs, Actual Verbs, Remaining, Ctg.#1, Ctg.#2, Ctg.#3, Ctg.#4, Ctg.#5, Ctg.#6, Ctg.#7
1, 1, The GDGPS System, be drive be power set develop complete possess man feature, drive develop possess, is by a powerful software set completely in-house at JPL and many unique features and capabilities ., 1 5, 9, 11, 13, 17, 16, 9
1, 2, The C++ software, be develop evolve lead process package Time, develop evolve, was and from one of the world 's leading GPS data processing and analysis software packages JPL 's GIPSY-OASIS and its real-time version RTG ( Real Time GIPSY ) ., 4, 1, 2, 9, 6, 2, 6
2, 1, The system, be complete automate automate, be, shall completely automated with end-to-end automatic operations ., 0, 0, 0, 0, 0, 0, 0
2, 2, Complete, position, , positioning system ., 0, 0, 0, 0, 0, 0, 0
2, 3, The software, handle complete time position include orbit network position, handle, all aspects of a complete real time global positioning system including GNSS orbit determination and simultaneous network positioning ., 7, 6, 1, 6, 5, 3, 3
2, 4, The software, perform position orbit, perform, user positioning and orbit determination ., 3, 6, 3, 1, 5, 1, 6
2, 5, The system, support well, support, real-time applications as well as post-processing applications ., 2, 4, 9, 7, 7, 2, 8
2, 6, The software, be test flavor, be, regularly tested on multiple flavors of Linux ., 0, 0, 0, 0, 0, 0, 0
2, 7, Various, position have be port sever embed include flight, position, modules have been ported to several embedded real-time environments including flight receivers ., 7, 8, 5, 2, 1, 1, 7
2, 8, The system, work man type, work, with many types of popular geodetic receivers ., 3, 7, 3, 8, 6, 3, 5
2, 9, Flexible adaptation, layer make ease accommodate type, make, layer it easy to accommodate new receiver types ., 0, 0, 0, 0, 0, 0, 0
2, 10, Visual, aid, , aids ., 0, 0, 0, 0, 0, 0, 0
2, 11, Real, time graph display use network monitor tool intern control, use, time graphic display of performance network monitoring tools and internal quality control ., 7, 6, 8, 7, 1, 0, 8
3, 1, The system, be develop Object Oriented, be, shall developed with Object Oriented C++ and Python for portability and maintainability ., 0, 0, 0, 0, 0, 0, 0
3, 2, Highly modular, code will be develop support embed well grind, be, code will developed to support embedded as well as ground applications ., 0, 0, 0, 0, 0, 0, 0
3, 3, There, be track record continue, be, must an outstanding track record of continuous operations ., 0, 0, 0, 0, 0, 0, 0
3, 4, All, model be demand, be, models sub-cm accurate for the most demanding science applications ., 0, 0, 0, 0, 0, 0, 0
3, 5, The system, be design be party team, be, shall designed for operations by a third party and for team maintenance ., 0, 0, 0, 0, 0, 0, 0
3, 6, Configuration, control, , control management ., 0, 0, 0, 0, 0, 0, 0
4, 1, Parallelized architecture ( MPI ), enable mass, Parallelized, real-time solutions to massive estimation problems ., 0, 0, 0, 0, 0, 0, 0
4, 2, State-space architecture, guarantee seam, seamless, guarantees global uniformity of the differential corrections ., 0, 0, 0, 0, 0, 0, 0
4, 3, Innovative, use achieve, achieve, use of the internet to robustness through redundancy ., 0, 2, 2, 3, 6, 5, 7
4, 4, Unique, satellite signal model develop house, develop, satellite dynamics and signal models in house at JPL ., 2, 4, 1, 1, 9, 8, 2
4, 5, The system, include, include, shall efficient GNSS data compression ., 0, 0, 0, 0, 0, 0, 0
4, 6, Innovative system, develop provide, develop, for end-to-end redundant operations provides high reliability ., 0, 0, 0, 0, 0, 0, 0
4, 7, Uniquely, flex filter design allow have attribute, allow, flexible filter design any parameter to have stochastic attributes ., 0, 0, 0, 0, 0, 0, 0
4, 8, The system, be Cap add fly, be, shall Capable of adding satellites/receivers on the fly ., 0, 0, 0, 0, 0, 0, 0
4, 9, Unique dynamics integrator, support orbit model, support, very high orbit modeling accuracy ., 2, 4, 9, 7, 7, 2, 8
4, 10, Tropospheric, delay model design reference sit, design, delay model and stochastic estimation capability for users or reference sites ., 5, 1, 3, 9, 7, 3, 5
4, 11, The system, exploit full content phase, exploit, shall full information content of phase data ., 7, 4, 3, 5, 5, 6, 1
4, 12, The system, provide time, provide, shall real time playback ., 0, 0, 0, 0, 0, 0, 0
4, 13, The Software, will be protect be patent, be, will protected by multiple U.S. and non-U.S. patents ., 0, 0, 0, 0, 0, 0, 0
